Name,Description,FKBP5,Kallikrein2,ZBTB10,BM039,TMEPAI,NKX3-1,KLK3,EAF2,MED28,ABCC4,SARG,GNMT,MPHOSPH9,NNMT,TNK1,MGC4504,MAN1A1,GLRA2,CD200,SRP72,MAF,ACSL3,HERC3,PTGER4,,Class
unstimulatedA_502C_I02,unstimulated,49.5,55.5,53,73,76,749,696.5,62,50,133,46,62,65,71,292,17068,69,276,332,102,143,60,145,56,,0
unstimulatedA_502C_K02,unstimulated,68,110.5,53.5,144,83,987.5,810,77,57,222.5,43,77,59,74,595.5,18066.5,82,407.5,500,237,110.5,71.5,207,70,,0
unstimulatedA_502C_M02,unstimulated,63,82,76,71,73.5,917,474,58,53.5,144,53.5,68,68,62.5,468,16305,85,326,355,184,95,43,158,67,,0
unstimulatedA_502C_O02,unstimulated,105,173,106.5,89,125,1298,566,58,52,210,73.5,118,109.5,67,860,16583.5,77,617.5,793,334.5,119,74.5,229.5,128.5,,0
unstimulatedA_503A_A02,unstimulated,101.5,76,79,92,72.5,894,1102,63.5,45,232.5,40,61.5,77.5,59,292,4929,87.5,169.5,341,107.5,132.5,62,252,57,,0
unstimulatedA_503A_C02,unstimulated,107,101,76,117,105,856.5,765.5,64,47,182,29,41,77.5,86.5,267,5121.5,110,151,314,117.5,114,54,139.5,54,,0
unstimulatedA_503A_E02,unstimulated,68,52,42,88,50,473,753,58.5,38,135.5,54,29,63.5,87.5,195,4954,73,86,121,65,96,55,161.5,41.5,,0
unstimulatedA_503A_G02,unstimulated,64.5,66,41,77,52.5,340,580,42.5,45,147,30,41,66,65,83,5515.5,69.5,65,84.5,74,95,45.5,158,56,,0
unstimulatedA_503A_K02,unstimulated,18,72,60,80,56,103.5,235,46,44,84,44,51,50,53,66,5523,83.5,52,78,47.5,59,40,106,48,,0
unstimulatedA_503A_M02,unstimulated,25.5,47,33.5,51,34,117,140,35,26,73,21,54,35,33,65,5017,72,46,64,48,49.5,25,104,46.5,,0
unstimulatedA_503A_O02,unstimulated,88,54,50,64,62,521,227,46,30.5,92,35,46,47,57,115,5270,58,110.5,155.5,46,75.5,44.5,85,62,,0
unstimulatedA_503B_A02,unstimulated,219,264.5,254,143,175,1988,944,97.5,67,362,81,112,192,156.5,1069,4538,141,691.5,803,377,239,159,446.5,155,,0
unstimulatedA_503B_C02,unstimulated,151,187,181,363,137,1521.5,1368,101.5,92,361.5,43,97,129,138,648,4930,124,307.5,366,145,348,159,517,110.5,,0
unstimulatedA_503B_E02,unstimulated,107,110.5,118,185,120,1030,1012,62,74,257,54.5,72.5,125,102,570,4561,98,287,334.5,198,265,111.5,408.5,74,,0
unstimulatedA_503B_G02,unstimulated,90,96.5,95.5,253,95,893.5,1092,67.5,81,308,61,71,100,84,209,4907,129,136,204,127.5,334,110,449.5,82,,0
